,Date,Team,Opponent,W/L,Margin,POSS,OPP_POSS,PPP,OPP_PPP,3PA%,OPP_3PA%,FTA%,OPP_FTA%,ORB%,DRB%,REB%,REB,TO%,OPP_TO%,FGA,FG%,OPP_FGA,OPP_FG%,3PA,3P%,OPP_3PA,OPP_3P%,FTA,FT%,OPP_FTA,OPP_FT%
77,2023-06-02,DAL,WAS,L,-1,78.8,80.3,0.95,0.94,42.1,39.0,21.0,52.5,23.4,89.5,52.9,45-40,12.8,18.8,26-76,34.2,19-59,32.2,9-32,28.1,8-23,34.8,13-16,81.2,29-31,93.6
78,2023-06-04,DAL,CON,L,-6,76.2,79.8,0.97,1.01,40.0,25.8,29.2,37.1,28.2,78.6,49.2,33-34,22.4,21.5,24-65,36.9,28-62,45.2,9-26,34.6,5-16,31.2,17-19,89.5,19-23,82.6
79,2023-06-07,DAL,PHO,W,5,87.2,83.2,0.97,0.95,29.9,37.1,35.1,18.6,40.5,89.7,65.8,50-26,19.5,18.1,30-77,39.0,31-70,44.3,4-23,17.4,7-26,26.9,20-27,74.1,10-13,76.9
80,2023-06-09,DAL,PHO,W,13,83.9,80.1,1.08,0.96,35.4,29.4,23.2,25.0,42.5,75.0,56.9,41-31,16.9,20.0,32-82,39.0,30-68,44.1,8-29,27.6,4-20,20.0,18-19,94.7,13-17,76.5
81,2023-06-11,DAL,NYL,L,-9,81.0,78.9,1.16,1.31,28.0,40.0,34.2,20.0,29.8,82.1,49.3,37-38,5.0,14.1,32-82,39.0,39-70,55.7,6-23,26.1,13-28,46.4,23-28,82.1,11-14,78.6
82,2023-06-14,DAL,LAS,L,-18,74.0,72.0,0.84,1.1,30.4,22.6,10.1,25.8,31.6,89.7,56.7,38-29,23.3,12.5,25-69,36.2,32-62,51.6,4-21,19.0,6-14,42.9,7-7,100.0,9-16,56.2
83,2023-06-17,DAL,SEA,L,-6,83.3,82.6,1.24,1.33,34.2,52.3,26.3,49.2,27.6,73.3,50.8,30-29,12.0,18.3,38-76,50.0,33-65,50.8,10-26,38.5,17-34,50.0,17-20,85.0,26-32,81.2
84,2023-06-20,DAL,ATL,W,12,77.7,80.2,1.1,0.91,25.8,26.9,51.5,49.2,42.1,73.2,58.2,46-33,20.8,16.2,27-66,40.9,22-67,32.8,6-17,35.3,4-18,22.2,25-34,73.5,25-33,75.8
85,2023-06-23,DAL,LAS,L,-2,79.2,83.5,0.94,0.92,34.3,24.3,24.3,33.8,38.2,76.1,60.0,48-32,22.8,15.7,28-70,40.0,26-74,35.1,5-24,20.8,2-18,11.1,13-17,76.5,22-25,88.0
86,2023-06-25,DAL,LAS,L,-10,79.7,80.4,1.05,1.16,30.6,30.6,22.2,46.8,24.3,86.7,52.2,35-32,16.5,16.2,31-72,43.1,31-62,50.0,6-22,27.3,8-19,42.1,15-16,93.8,23-29,79.3
87,2023-06-27,DAL,PHO,W,15,74.1,73.8,1.04,0.85,25.0,35.1,21.9,31.6,32.3,87.1,59.7,37-25,23.0,21.9,30-64,46.9,23-57,40.4,5-16,31.2,3-20,15.0,12-14,85.7,13-18,72.2
88,2023-07-02,DAL,WAS,W,17,83.6,81.6,1.07,0.89,29.7,35.7,31.1,35.7,44.1,88.6,69.2,54-24,21.7,11.1,33-74,44.6,24-70,34.3,6-22,27.3,4-25,16.0,17-23,73.9,20-25,80.0
89,2023-07-05,DAL,LVA,L,-7,79.0,78.3,1.05,1.14,29.3,30.8,14.6,36.9,28.9,78.8,50.0,39-39,10.3,16.7,33-82,40.2,30-65,46.2,6-24,25.0,9-20,45.0,10-12,83.3,20-24,83.3
90,2023-07-07,DAL,LVA,W,2,78.6,76.3,1.03,1.03,20.6,43.3,26.5,28.3,33.3,83.9,59.0,36-25,20.5,22.4,32-68,47.1,27-60,45.0,3-14,21.4,10-26,38.5,13-18,72.2,14-17,82.4
91,2023-07-09,DAL,IND,W,1,74.3,77.3,1.04,0.99,21.0,20.9,41.9,25.4,27.3,68.6,48.5,33-35,17.6,22.1,27-62,43.6,30-67,44.8,2-13,15.4,3-14,21.4,21-26,80.8,13-17,76.5
92,2023-07-12,DAL,MIN,W,40,79.1,75.4,1.35,0.89,32.9,32.9,24.0,11.4,40.0,75.6,60.6,43-28,8.9,20.0,41-79,51.9,28-70,40.0,10-26,38.5,6-23,26.1,15-19,79.0,5-8,62.5
95,2023-07-19,DAL,NYL,W,10,76.9,77.1,1.29,1.14,20.0,42.9,28.8,17.1,30.0,77.8,52.6,40-36,2.6,16.9,38-80,47.5,32-70,45.7,7-16,43.8,13-30,43.3,15-23,65.2,11-12,91.7
97,2023-05-19,MIN,CHI,L,-11,78.0,76.4,0.86,1.01,38.1,33.3,33.3,8.3,28.2,80.6,53.3,40-35,26.0,15.8,21-63,33.3,31-72,43.1,6-24,25.0,9-24,37.5,18-21,85.7,6-6,100.0
98,2023-05-23,MIN,ATL,L,-6,74.5,79.5,1.04,1.05,29.8,33.3,22.4,29.0,31.2,67.6,50.0,33-33,18.9,20.2,30-67,44.8,29-69,42.0,6-20,30.0,7-23,30.4,11-15,73.3,18-20,90.0
99,2023-05-25,MIN,PHO,L,-9,82.6,76.0,0.99,1.2,25.7,49.1,35.7,40.4,18.2,76.0,43.1,25-33,13.4,24.0,28-70,40.0,28-57,49.1,3-18,16.7,13-28,46.4,22-25,88.0,21-23,91.3
100,2023-05-28,MIN,LVA,L,-21,80.1,82.1,0.91,1.15,29.6,54.2,23.9,23.6,20.0,88.9,52.6,40-36,16.2,12.2,26-71,36.6,32-72,44.4,7-21,33.3,14-39,35.9,14-17,82.4,16-17,94.1
101,2023-05-30,MIN,DAL,L,-5,80.1,78.4,1.11,1.21,26.5,30.7,25.0,29.3,22.6,69.2,48.6,34-36,18.8,11.5,33-68,48.5,33-75,44.0,9-18,50.0,8-23,34.8,14-17,82.4,20-22,90.9
